ticket_id,title,description,category,module,priority,status,resolution,created_at,tags
TKT-001,Cannot login – Invalid credentials error,User reports being unable to login to the ERP system. Error message: 'Invalid credentials'. Affects 3 users in Finance department.,Access,Authentication,High,Resolved,"1. Check if account is locked: Admin > Users > Search user > Check 'Account Locked' flag. 2. If locked, click 'Unlock Account'. 3. Reset password via Admin > Reset Password. 4. Clear browser cache and cookies. 5. Ask user to retry with new credentials.",2024-01-15,login;authentication;access
TKT-002,Invoice posting fails with error code AP-500,Invoice cannot be posted in Accounts Payable. Error: AP-500 Database constraint violation. Affects month-end close process.,Finance,Accounts Payable,Critical,Resolved,"Root cause: duplicate invoice number in staging table. Fix: 1. Run query to identify duplicates: SELECT * FROM ap_invoice_staging WHERE status='PENDING'. 2. Delete duplicate rows. 3. Clear AP temp tables via AP > Utilities > Clear Temp Data. 4. Re-run invoice batch from AP > Batch Processing > Invoice Posting.",2024-01-16,invoice;ap;posting;error
TKT-003,Payroll calculation incorrect for overtime,Overtime hours not being calculated correctly for hourly employees. System calculating at base rate instead of 1.5x.,HR,Payroll,High,Resolved,"Issue in payroll rules configuration. Fix: 1. Navigate to HR > Payroll Setup > Earnings Codes. 2. Find 'OT' earnings code. 3. Set Multiplier field to 1.5. 4. Save changes. 5. Rerun payroll calculation for affected pay period via Payroll > Process > Recalculate.",2024-01-18,payroll;overtime;calculation;hr
TKT-004,Purchase order approval workflow stuck,PO submitted for approval 3 days ago but approver never received notification. PO remains in 'Pending Approval' status.,Procurement,Purchase Orders,Medium,Resolved,"Email notification service was down. Fix: 1. Check workflow notification queue: Admin > Workflow > Notification Queue. 2. Manually trigger pending notifications. 3. Restart email service: Admin > Services > Email Service > Restart. 4. Verify approver email is correct in user profile.",2024-01-19,po;approval;workflow;notification
TKT-005,Inventory stock levels showing negative,Several inventory items showing negative on-hand quantities after warehouse transaction. Items: PROD-101 PROD-102 PROD-103.,Inventory,Warehouse Management,High,Resolved,"Caused by receiving transactions posted out of order. Fix: 1. Run Inventory > Utilities > Recalculate On-Hand Quantities. 2. Review transaction history for affected items. 3. Reverse incorrect transactions: Inventory > Transactions > Find Transaction > Reverse. 4. Repost in correct date order.",2024-01-20,inventory;negative stock;warehouse
TKT-006,General ledger not balancing after period close,Trial balance shows $4,250 discrepancy after closing January. Debit/credit totals do not match.,Finance,General Ledger,Critical,Resolved,"Found unposted journal entries. Fix: 1. GL > Unposted Transactions > Review all unposted entries. 2. Post or void unposted transactions. 3. Run GL > Period Close > Integrity Check. 4. Re-run trial balance report. 5. If still unbalanced run GL > Utilities > Rebuild GL Balances.",2024-01-22,gl;trial balance;period close;reconciliation
TKT-007,Sales order cannot be converted to delivery,Sales order SO-2024-0891 shows status 'Ready to Ship' but system prevents creating delivery note. Error: Customer credit limit exceeded.,Sales,Order Management,Medium,Resolved,"Customer credit limit was $50000 but outstanding balance was $51200. Fix: 1. Finance > Customer Accounts > Find customer. 2. Temporarily increase credit limit or 3. Get Finance approval to override: Sales > Orders > Find SO > Actions > Credit Override > Enter approval code. 4. Proceed with delivery creation.",2024-01-23,sales order;delivery;credit limit
TKT-008,System extremely slow – report taking 45 minutes,Month-end financial reports that normally take 5 minutes are now taking 45+ minutes. Affects all users.,System,Performance,Critical,Resolved,"Database index fragmentation identified. Fix: 1. DBA ran index rebuild script on financial tables. 2. Cleared report server cache: Admin > Reporting > Clear Cache. 3. Increased report server memory allocation from 4GB to 8GB. 4. Scheduled weekly index maintenance job. Performance restored to 3-5 minutes.",2024-01-25,performance;slow;reports;database
TKT-009,Cannot create new vendor – duplicate check failing,Attempting to add new vendor 'Acme Supplies Ltd' but system says duplicate exists. No existing vendor found with that name.,Procurement,Vendor Management,Low,Resolved,"Duplicate check was matching on partial name. Existing vendor 'Acme Supplies' was triggering false positive. Fix: 1. Search with exact name. 2. If truly different vendor add unique identifier to name. 3. Or Admin > System Config > Vendor Duplicate Check Threshold > Change from 70% to 90% match.",2024-01-26,vendor;duplicate;procurement
TKT-010,Bank reconciliation items not matching,48 bank statement transactions cannot be matched to ERP transactions. Bank import shows different reference numbers.,Finance,Bank Reconciliation,Medium,Resolved,"Bank changed their transaction reference format. Fix: 1. Finance > Bank Rec > Import Settings > Update reference field mapping. 2. Re-import bank statement. 3. For already-imported items: manually match via Finance > Bank Rec > Manual Match. 4. Contact bank to confirm new reference format going forward.",2024-01-28,bank reconciliation;bank statement;finance
